City  ,AirportCode  , AirportName  ,Country  , CountryAbbrev  
'Aberdeen ','APG','Phillips AAF ','United States ','US '
'Aberdeen ','ABR','Municipal ','United States ','US '
'Abilene ','DYS','Dyess AFB ','United States ','US '
'Abilene ','ABI','Municipal ','United States ','US '
'Abingdon ','VJI','Virginia Highlands ','United States ','US '
'Ada ','ADT','Ada ','United States ','US '
'Adak Island ','ADK','Adak Island Ns ','United States ','US '
'Adrian ','ADG','Lenawee County ','United States ','US '
'Afton ','AFO','Municipal ','United States ','US '
'Aiken ','AIK','Municipal ','United States ','US '
'Ainsworth ','ANW','Ainsworth ','United States ','US '
'Akhiok ','AKK','Akhiok SPB ','United States ','US '
'Akiachak ','KKI','Spb ','United States ','US '
'Akiak ','AKI','Akiak ','United States ','US '
'Akron CO ' ,'AKO','Colorado Plains Regional Airport ','United States ','US '
'Akron/Canton OH ' ,'CAK','Akron/canton Regional ','United States ','US '
'Akron/Canton ','AKC','Fulton International ','United States ','US '
'Akutan ','KQA','Akutan ','United States ','US '
'Alakanuk ','AUK','Alakanuk ','United States ','US '
'Alameda ','NGZ','NAS ','United States ','US '
'Alamogordo ','HMN','Holloman AFB ','United States ','US '
'Alamogordo ','ALM','Municipal ','United States ','US '
'Alamosa ','ALS','Municipal ','United States ','US '
'Albany ','NAB','Albany NAS ','United States ','US '
'Albany ','ABY','Dougherty County ','United States ','US '
'Albany ','ALB','Albany International ','United States ','US '
'Albany ','CVO','Albany ','United States ','US '
'Albert Lea ','AEL','Albert Lea ','United States ','US '
'Albuquerque ','ABQ','Albuquerque International ','United States ','US '
'Aleknagik ','WKK','Aleknagik ','United States ','US '
'Aleneva ','AED','Aleneva ','United States ','US '
 'Alexander City AL ' ,'ALX','Thomas C Russell Fld ','United States ','US '
 'Alexandria LA ' ,'AEX','Alexandria International ','United States ','US '
'Alexandria ','ESF','Esler Field ','United States ','US '
'Alexandria ','AXN','Alexandria ','United States ','US '
'Alexandria Bay ','AXB','Alexandria Bay ','United States ','US '
'Algona ','AXG','Algona ','United States ','US '
'Alice ','ALI','International ','United States ','US '
 'Aliceville AL ' ,'AIV','George Downer ','United States ','US '
'Alitak ','ALZ','Alitak SPB ','United States ','US '
'Allakaket ','AET','Allakaket ','United States ','US '
'Alliance ','AIA','Alliance ','United States ','US '
'Alma ','AMN','Gratiot Community ','United States ','US '
'Alpena ','APN','Alpena County Regional ','United States ','US '
'Alpine ','ALE','Alpine ','United States ','US '
'Alton ','ALN','Alton ','United States ','US '
'Altus ','LTS','Altus AFB ','United States ','US '
'Altus ','AXS','Municipal ','United States ','US '
'Alyeska ','AQY','Alyeska ','United States ','US '
 'Amarillo  ' ,'AMA','Rick Husband Amarillo International ','United States ','US '
'Amarillo ','TDW','Tradewind ','United States ','US '
'Ambler ','ABL','Ambler ','United States ','US '
'Amchitka ','AHT','Amchitka ','United States ','US '
'Amery ','AHH','Municipal ','United States ','US '
'Ames ','AMW','Ames ','United States ','US '
'Amityville ','AYZ','Zahns ','United States ','US '
'Amook ','AOS','Amook ','United States ','US '
'Anacortes ','OTS','Anacortes ','United States ','US '
'Anacostia ','NDV','USN Heliport ','United States ','US '
'Anaheim ','ANA','Orange County Steel Salvage Heliport ','United States ','US '
'Anaktuvuk ','AKP','Anaktuvuk ','United States ','US '
'Anchorage ','EDF','Elmendorf Afb ','United States ','US '
'Anchorage ','ANC','Ted Stevens Anchorage International Airport ','United States ','US '
'Anchorage ','MRI','Merrill Field ','United States ','US '
'Anderson ','AID','Municipal ','United States ','US '
'Anderson ','AND','Anderson ','United States ','US '
'Andrews ','ADR','Andrews ','United States ','US '
'Angel Fire ','AXX','Angel Fire ','United States ','US '
'Angola ','ANQ','Tri-State Steuben Cty ','United States ','US '
'Angoon ','AGN','Angoon ','United States ','US '
'Anguilla ','RFK','Rollang Field ','United States ','US '
'Aniak ','ANI','Aniak ','United States ','US '
'Anita Bay ','AIB','Anita Bay ','United States ','US '
 'Ann Arbor MI ' ,'ARB','Municipal ','United States ','US '
'Annapolis ','ANP','Lee ','United States ','US '
'Annette Island ','ANN','Annette Island ','United States ','US '
 'Anniston AL ' ,'ANB','Anniston Metropolitan ','United States ','US '
'Anniston ','QAW','Ft Mcclellan Bus Trml ','United States ','US '
'Anniston ','RLI','Reilly AHP ','United States ','US '
'Anthony ','ANY','Anthony ','United States ','US '
'Antlers ','ATE','Antlers ','United States ','US '
'Anvik ','ANV','Anvik ','United States ','US '
'Apalachicola ','AAF','Municipal ','United States ','US '
'Apple Valley ','APV','Apple Valley ','United States ','US '
'Appleton ','ATW','Outagamie County ','United States ','US '
'Arapahoe ','AHF','Municipal ','United States ','US '
'Arcata ','ACV','Arcata ','United States ','US '
'Arctic Village ','ARC','Arctic Village ','United States ','US '
'Ardmore ','AHD','Downtown ','United States ','US '
'Ardmore ','ADM','Ardmore Municipal Arpt ','United States ','US '
'Arlington Heights ','JLH','US Army Heliport ','United States ','US '
'Artesia ','ATS','Artesia ','United States ','US '
 'Neptune ' ,'ARX','Asbury Park ','United States ','US '
'Ashland ','ASX','Ashland ','United States ','US '
'Ashley ','ASY','Ashley ','United States ','US '
'Aspen ','ASE','Aspen ','United States ','US '
'Astoria ','AST','Astoria ','United States ','US '
'Athens ','AHN','Athens ','United States ','US '
'Athens ','ATO','Ohio University ','United States ','US '
'Athens ','MMI','McMinn County ','United States ','US '
