No,Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases,Drink
1,'Zinfandel','Robert Biale','St. Helena','California','Old Kraft Vineyard',2008,44,93,275,'now'
2,'Zinfandel','Chiarello Family','Napa Valley','California','Giana',2008,35,93,480,'now'
3,'Zinfandel','Robert Biale','Napa Valley','California','Black Chicken',2008,40,91,2700,2012
4,'Zinfandel','Robert Biale','Napa Valley','California','Napa Ranches',2008,38,89,525,'now'
5,'Zinfandel','Robert Biale','St. Helena','California','Varozza Vineyard',2008,44,88,275,2012
6,'Zinfandel','Pedroncelli','Dry Creek Valley','California','Mother Clone',2008,15,88,6000,'now'
7,'Zinfandel','Rutherford Ranch','Napa Valley','California','Zinfandel',2007,18,87,1552,'now'
8,'Sauvignon Blanc','Altamura','Napa Valley','California','Sauvignon Blanc',2007,48,92,500,'now'
9,'Sauvignon Blanc','Capture','Sonoma County','California','Les Pionniers',2009,36,92,360,'now'
10,'Sauvignon Blanc','Brander','Santa Ynez Valley','California','Cuvee Nicolas',2009,25,91,377,'now'
11,'Sauvignon Blanc','Capture','California','California','Tradition',2009,30,91,875,'now'
12,'Sauvignon Blanc','John Anthony','Carneros','California','Church Vineyard',2009,28,91,354,'now'
13,'Sauvignon Blanc','Peter Michael','Knights Valley','California','L''Apres-Midi',2008,48,91,1260,'now'
14,'Sauvignon Blanc','Grey Stack','Bennett Valley','California','Rosemary''s Block Dry Stack Vineyard',2009,28,90,700,'now'
15,'Sauvignon Blanc','Round Pond Estate','Rutherford','California','Sauvignon Blanc',2009,26,90,714,'now'
16,'Sauvignon Blanc','Beckmen','Santa Ynez Valley','California','Sauvignon Blanc',2009,16,89,1500,'now'
17,'Sauvignon Blanc','Beltane Ranch','Sonoma Valley','California','Sauvignon Blanc',2009,23,89,413,'now'
18,'Sauvignon Blanc','Brander','Santa Ynez Valley','California','Mesa Verde Vineyard',2009,22,89,380,'now'
19,'Sauvignon Blanc','Cade','Napa Valley','California','Sauvignon Blanc',2008,26,89,5200,'now'
20,'Sauvignon Blanc','Jericho Canyon','Napa Valley','California','Sauvignon Blanc',2009,25,89,370,'now'
21,'Sauvignon Blanc','John Anthony','Napa Valley','California','Sauvignon Blanc',2009,19,89,3098,'now'
22,'Sauvignon Blanc','Kenzo','Napa Valley','California','Asatsuyu',2008,60,89,600,'now'
23,'Sauvignon Blanc','Madrigal','Napa Valley','California','Estate',2009,25,89,200,'now'
24,'Sauvignon Blanc','Joseph Phelps','St. Helena','California','Sauvignon Blanc',2008,32,89,2000,'now'
25,'Sauvignon Blanc','Sbragia Family','Dry Creek Valley','California','Home Ranch',2009,20,89,1698,'now'
26,'Sauvignon Blanc','Selene','Carneros','California','Hyde Vineyards',2009,27,89,750,'now'
27,'Sauvignon Blanc','Brander','Santa Ynez Valley','California','Purisma Mountain',2009,25,88,260,'now'
28,'Sauvignon Blanc','Cimarone','Happy Canyon of Santa Barbara','California','3CV Grassini Family Vineyards',2009,21,88,270,'now'
29,'Sauvignon Blanc','Sbragia Family','Dry Creek Valley','California','Schmidt Ranch',2009,24,88,602,'now'
30,'Sauvignon Blanc','Azur','Rutherford','California','Sauvignon Blanc',2009,24,87,1000,'now'
31,'Sauvignon Blanc','Brander','Santa Ynez Valley','California','Cuvee Natalie',2009,18,87,857,'now'
32,'Sauvignon Blanc','Brander','Santa Ynez Valley','California','au Naturel',2009,32,87,759,'now'
33,'Sauvignon Blanc','Handley','Dry Creek Valley','California','Handley Vineyard',2008,15,87,1214,'now'
34,'Sauvignon Blanc','Imagery','Sonoma Valley','California','Wow Oui',2009,27,87,874,'now'
35,'Sauvignon Blanc','Koehler','Santa Ynez Valley','California','Sauvignon Blanc',2008,12,87,505,'now'
36,'Sauvignon Blanc','Pomelo','California','California','Sauvignon Blanc',2009,10,87,50000,'now'
37,'Sauvignon Blanc','Twomey','Napa Valley','California','Sauvignon Blanc',2009,25,87,3326,'now'
38,'Sauvignon Blanc','White Oak','Russian River Valley','California','Sauvignon Blanc',2008,16,87,2000,'now'
39,'Sauvignon Blanc','Benziger','Sonoma-Lake Counties','California','Sauvignon Blanc',2009,15,86,20000,'now'
40,'Sauvignon Blanc','Kunde Estate','Sonoma Valley','California','Magnolia Lane',2009,16,86,15000,'now'
41,'Sauvignon Blanc','J. Lohr','Napa Valley','California','Carol''s Vineyard',2009,24,86,2900,'now'
42,'Sauvignon Blanc','Pedroncelli','Dry Creek Valley','California','East Side Vineyards',2009,12,86,5100,'now'
43,'Sauvignon Blanc','Star Lane','Santa Ynez Valley','California','Sauvignon Blanc',2008,20,86,2800,'now'
44,'Sauvignon Blanc','Angeline','Russian River Valley','California','Sauvignon Blanc',2009,14,85,8500,'now'
45,'Sauvignon Blanc','Manifesto!','North Coast','California','Sauvignon Blanc',2008,12,85,8100,'now'
46,'Sauvignon Blanc','Mirassou','California','California','Sauvignon Blanc',2008,12,85,42000,'now'
47,'Sauvignon Blanc','No','Lake County','California','Sauvignon Blanc',2008,12,85,4210,'now'
48,'Cabernet Sauvingnon','Chappellet','Napa Valley','California','Pritchard Hill',2007,135,96,3368,'now'
49,'Cabernet Sauvingnon','Lewis','Napa Valley','California','Reserve',2007,130,95,1700,'now'
50,'Cabernet Sauvingnon','Neyers','Napa Valley','California','Neyers Ranch - Conn Valley',2007,48,95,575,'now'
51,'Cabernet Sauvingnon','Ramey','Napa Valley','California','Annum',2007,85,95,1700,'now'
52,'Cabernet Sauvingnon','Round Pond Estate','Rutherford','California','Cabernet Sauvignon',2007,50,94,4018,'now'
53,'Cabernet Sauvingnon','Carter','Napa Valley','California','Beckstoffer To Kalon Vineyard',2007,125,92,190,'now'
54,'Cabernet Sauvingnon','Carter','Napa Valley','California','Coliseum Block',2007,125,92,277,'now'
55,'Cabernet Sauvingnon','Ehlers Estate','St. Helena','California','1886',2007,95,92,800,'now'
56,'Cabernet Sauvingnon','Fontanella Family','Mount Vedeer','California','Cabernet Sauvignon',2007,50,92,650,2010
57,'Cabernet Sauvingnon','Janzen','Napa Valley','California','Beckstoffer To Kalon Vineyard',2007,135,92,235,'now'
