CMDLINE /Users/hyukyu/github/text2SQL/venv/bin/python3 src/dataset/dataloader.py
MEM 0.562500 1663636195.3203
MEM 17.531250 1663636195.4254
MEM 17.531250 1663636195.5306
MEM 17.531250 1663636195.6359
MEM 22.109375 1663636195.7404
MEM 23.671875 1663636195.8458
MEM 23.671875 1663636195.9495
MEM 23.671875 1663636196.0545
MEM 23.703125 1663636196.1598
MEM 23.703125 1663636196.2653
MEM 23.703125 1663636196.3688
MEM 23.703125 1663636196.4722
MEM 23.718750 1663636196.5774
MEM 23.734375 1663636196.6826
MEM 23.734375 1663636196.7878
MEM 23.734375 1663636196.8885
MEM 23.734375 1663636196.9914
MEM 23.734375 1663636197.0942
MEM 23.734375 1663636197.1962
MEM 23.734375 1663636197.2992
MEM 23.734375 1663636197.4045
MEM 23.734375 1663636197.5074
MEM 23.734375 1663636197.6117
MEM 23.734375 1663636197.7171
MEM 23.750000 1663636197.8190
MEM 25.828125 1663636197.9238
MEM 54.031250 1663636198.0289
MEM 81.531250 1663636198.1330
MEM 81.531250 1663636198.2381
MEM 81.531250 1663636198.3434
MEM 81.546875 1663636198.4459
MEM 81.546875 1663636198.5500
MEM 81.546875 1663636198.6517
MEM 81.546875 1663636198.7523
MEM 81.546875 1663636198.8572
MEM 81.562500 1663636198.9628
MEM 81.562500 1663636199.0658
MEM 81.562500 1663636199.1664
MEM 81.593750 1663636199.2711
MEM 81.593750 1663636199.3766
MEM 81.593750 1663636199.4819
MEM 81.593750 1663636199.5873
MEM 86.109375 1663636199.6876
MEM 86.109375 1663636199.7906
MEM 86.109375 1663636199.8957
MEM 87.156250 1663636200.0008
MEM 87.156250 1663636200.1061
MEM 87.156250 1663636200.2114
MEM 88.906250 1663636200.3158
MEM 88.906250 1663636200.4209
MEM 88.906250 1663636200.5261
MEM 88.906250 1663636200.6311
MEM 89.781250 1663636200.7326
MEM 89.781250 1663636200.8359
MEM 89.781250 1663636200.9412
MEM 90.234375 1663636201.0466
MEM 90.234375 1663636201.1501
MEM 90.234375 1663636201.2536
MEM 90.406250 1663636201.3589
MEM 90.406250 1663636201.4641
MEM 90.406250 1663636201.5694
MEM 90.968750 1663636201.6737
MEM 90.968750 1663636201.7789
MEM 90.968750 1663636201.8841
MEM 91.109375 1663636201.9887
MEM 91.109375 1663636202.0922
MEM 91.109375 1663636202.1975
MEM 91.109375 1663636202.3009
MEM 91.328125 1663636202.4052
MEM 91.328125 1663636202.5105
MEM 91.328125 1663636202.6157
MEM 91.421875 1663636202.7182
MEM 91.421875 1663636202.8207
MEM 91.421875 1663636202.9259
MEM 91.500000 1663636203.0311
MEM 91.500000 1663636203.1332
MEM 91.500000 1663636203.2385
MEM 91.500000 1663636203.3421
MEM 91.578125 1663636203.4463
MEM 91.578125 1663636203.5485
MEM 91.578125 1663636203.6538
MEM 91.578125 1663636203.7592
MEM 97.187500 1663636203.8643
MEM 108.703125 1663636203.9650
MEM 118.718750 1663636204.0702
MEM 125.718750 1663636204.1752
MEM 128.187500 1663636204.2803
MEM 128.187500 1663636204.3827
MEM 128.187500 1663636204.4881
MEM 128.187500 1663636204.5934
MEM 128.187500 1663636204.6984
MEM 132.453125 1663636204.8019
